Perturbation,Samples MCD,Threshold,Dropout rate,Monitor MCC,Monitor precision,Monitor recall,Monitor F1 score,Monitor FP rate,Monitor FN rate,Core model SG,Monitor SG,Full SG,Average overhead monitor
None,-1,-1,-1,0.711,0.813,0.816,0.814,0.105,0.184,0.502,0.144,0.646,2.120
None,-1,0.250,-1,0.684,0.727,0.896,0.803,0.187,0.104,0.502,0.122,0.625,2.460
None,-1,0.125,-1,0.598,0.615,0.952,0.747,0.332,0.048,0.502,0.045,0.548,3.960
None,10,-1,0.5,0.719,0.807,0.836,0.821,0.111,0.164,0.502,0.148,0.650,34.670
None,10,-1,0.75,0.718,0.812,0.828,0.820,0.107,0.172,0.502,0.148,0.650,34.600
None,10,-1,0.9,0.708,0.810,0.816,0.813,0.107,0.184,0.502,0.148,0.650,34.530
None,10,0.25,0.5,0.654,0.675,0.932,0.783,0.249,0.068,0.502,0.133,0.636,38.700
None,10,0.25,0.75,0.666,0.696,0.916,0.791,0.223,0.084,0.502,0.132,0.635,37.920
None,10,0.25,0.9,0.676,0.708,0.912,0.797,0.209,0.088,0.502,0.132,0.634,36.400
None,10,0.125,0.5,0.552,0.577,0.956,0.720,0.390,0.044,0.502,0.017,0.520,60.390
None,10,0.125,0.75,0.573,0.593,0.956,0.732,0.365,0.044,0.502,0.040,0.542,59.450
None,10,0.125,0.9,0.581,0.599,0.956,0.737,0.356,0.044,0.502,0.038,0.540,58.490
None,30,-1,0.5,0.718,0.812,0.828,0.820,0.107,0.172,0.502,0.148,0.650,101.510
None,30,-1,0.75,0.715,0.811,0.824,0.817,0.107,0.176,0.502,0.148,0.650,101.510
None,30,-1,0.9,0.711,0.810,0.820,0.815,0.107,0.180,0.502,0.148,0.650,101.180
None,30,0.25,0.5,0.644,0.669,0.928,0.777,0.256,0.072,0.502,0.120,0.623,118.180
None,30,0.25,0.75,0.663,0.964,0.916,0.790,0.225,0.084,0.502,0.132,0.635,111.110
None,30,0.25,0.9,0.675,0.705,0.916,0.797,0.214,0.084,0.502,0.132,0.634,107.120
None,30,0.125,0.5,0.552,0.577,0.956,0.720,0.390,0.044,0.502,0.017,0.520,178.790
None,30,0.125,0.75,0.575,0.595,0.956,0.733,0.363,0.044,0.502,0.040,0.542,175.430
None,30,0.125,0.9,0.581,0.599,0.956,0.737,0.356,0.044,0.502,0.038,0.540,172.210
Pixel trap,-1,-1,-1,0.671,0.744,0.858,0.797,0.170,0.142,0.519,0.087,0.607,2.570
Pixel trap,-1,0.250,-1,0.616,0.664,0.903,0.765,0.263,0.097,0.519,0.055,0.574,3.310
Pixel trap,-1,0.125,-1,0.545,0.582,0.947,0.721,0.392,0.053,0.519,0.019,0.539,4.290
Pixel trap,10,-1,0.5,0.672,0.742,0.862,0.798,0.172,0.138,0.519,0.087,0.607,41.100
Pixel trap,10,-1,0.75,0.671,0.738,0.866,0.797,0.177,0.134,0.519,0.087,0.607,40.980
Pixel trap,10,-1,0.9,0.671,0.744,0.858,0.797,0.170,0.142,0.519,0.087,0.607,40.930
Pixel trap,10,0.25,0.5,0.577,0.622,0.919,0.742,0.322,0.081,0.519,0.054,0.573,48.000
Pixel trap,10,0.25,0.75,0.599,0.642,0.915,0.755,0.294,0.085,0.519,0.054,0.573,47.720
Pixel trap,10,0.25,0.9,0.597,0.646,0.907,0.754,0.287,0.093,0.519,0.056,0.576,46.970
Pixel trap,10,0.125,0.5,0.486,0.539,0.951,0.688,0.469,0.049,0.519,-0.050,0.469,70.030
Pixel trap,10,0.125,0.75,0.509,0.554,0.951,0.700,0.441,0.049,0.519,-0.042,0.477,68.700
Pixel trap,10,0.125,0.9,0.522,0.564,0.951,0.708,0.424,0.049,0.519,-0.017,0.503,64.250
Pixel trap,30,-1,0.5,0.667,0.737,0.862,0.795,0.177,0.138,0.519,0.087,0.607,120.670
Pixel trap,30,-1,0.75,0.667,0.737,0.862,0.795,0.177,0.138,0.519,0.087,0.607,120.330
Pixel trap,30,-1,0.9,0.666,0.739,0.858,0.794,0.175,0.142,0.519,0.087,0.607,120.450
Pixel trap,30,0.25,0.5,0.575,0.618,0.923,0.740,0.329,0.077,0.519,0.043,0.562,148.910
Pixel trap,30,0.25,0.75,0.592,0.637,0.915,0.751,0.301,0.085,0.519,0.054,0.573,140.850
Pixel trap,30,0.25,0.9,0.597,0.646,0.907,0.754,0.287,0.093,0.519,0.056,0.576,138.040
Pixel trap,30,0.125,0.5,0.486,0.539,0.951,0.688,0.469,0.049,0.519,-0.046,0.473,205.180
Pixel trap,30,0.125,0.75,0.507,0.553,0.951,0.699,0.443,0.049,0.519,-0.046,0.473,205.610
Pixel trap,30,0.125,0.9,0.522,0.564,0.951,0.708,0.424,0.049,0.519,-0.017,0.503,190.140
Shifted pixels,-1,-1,-1,0.565,0.766,0.695,0.729,0.141,0.305,0.500,0.134,0.635,2.260
Shifted pixels,-1,0.250,-1,0.544,0.680,0.808,0.738,0.254,0.192,0.500,0.053,0.553,3.120
Shifted pixels,-1,0.125,-1,0.536,0.625,0.901,0.738,0.360,0.099,0.500,0.030,0.530,3.990
Shifted pixels,10,-1,0.5,0.567,0.767,0.699,0.731,0.141,0.301,0.500,0.134,0.635,36.080
Shifted pixels,10,-1,0.75,0.567,0.767,0.699,0.731,0.141,0.301,0.500,0.134,0.635,36.080
Shifted pixels,10,-1,0.9,0.565,0.764,0.699,0.730,0.143,0.301,0.500,0.124,0.625,36.370
Shifted pixels,10,0.25,0.5,0.553,0.661,0.858,0.746,0.294,0.142,0.500,0.042,0.542,43.080
Shifted pixels,10,0.25,0.75,0.546,0.666,0.838,0.742,0.280,0.162,0.500,0.053,0.553,42.140
Shifted pixels,10,0.25,0.9,0.543,0.672,0.821,0.739,0.267,0.179,0.500,0.053,0.553,42.230
Shifted pixels,10,0.125,0.5,0.547,0.607,0.950,0.741,0.411,0.050,0.500,0.017,0.518,69.910
Shifted pixels,10,0.125,0.75,0.549,0.615,0.937,0.743,0.391,0.063,0.500,0.016,0.517,64.600
Shifted pixels,10,0.125,0.9,0.538,0.616,0.921,0.738,0.382,0.079,0.500,0.016,0.517,64.350
Shifted pixels,30,-1,0.5,0.562,0.764,0.695,0.728,0.143,0.305,0.500,0.134,0.635,106.110
Shifted pixels,30,-1,0.75,0.567,0.767,0.699,0.731,0.141,0.301,0.500,0.134,0.635,106.530
Shifted pixels,30,-1,0.9,0.565,0.766,0.695,0.729,0.141,0.305,0.500,0.134,0.635,106.380
Shifted pixels,30,0.25,0.5,0.555,0.662,0.858,0.747,0.291,0.142,0.500,0.042,0.542,127.940
Shifted pixels,30,0.25,0.75,0.548,0.668,0.838,0.743,0.278,0.162,0.500,0.053,0.553,125.960
Shifted pixels,30,0.25,0.9,0.541,0.670,0.821,0.738,0.269,0.179,0.500,0.053,0.553,126.050
Shifted pixels,30,0.125,0.5,0.550,0.609,0.950,0.743,0.406,0.050,0.500,0.012,0.512,209.820
Shifted pixels,30,0.125,0.75,0.543,0.615,0.930,0.740,0.389,0.070,0.500,0.016,0.517,191.820
Shifted pixels,30,0.125,0.9,0.540,0.618,0.921,0.739,0.380,0.079,0.500,0.026,0.526,189.350
Brightness,-1,-1,-1,0.698,0.863,0.863,0.863,0.165,0.137,0.396,0.144,0.541,0.620
Brightness,-1,0.250,-1,0.697,0.816,0.930,0.870,0.251,0.070,0.396,0.164,0.560,0.790
Brightness,-1,0.125,-1,0.664,0.769,0.967,0.857,0.349,0.033,0.396,0.095,0.491,1.060
Brightness,10,-1,0.5,0.695,0.859,0.865,0.862,0.170,0.135,0.396,0.144,0.541,36.800
Brightness,10,-1,0.75,0.695,0.861,0.863,0.862,0.168,0.137,0.396,0.144,0.541,37.120
Brightness,10,-1,0.9,0.695,0.861,0.863,0.862,0.168,0.137,0.396,0.144,0.541,37.130
Brightness,10,0.25,0.5,0.671,0.786,0.949,0.860,0.310,0.051,0.396,0.128,0.524,36.560
Brightness,10,0.25,0.75,0.683,0.798,0.944,0.865,0.288,0.056,0.396,0.136,0.532,36.280
Brightness,10,0.25,0.9,0.698,0.807,0.944,0.870,0.271,0.056,0.396,0.143,0.539,33.750
Brightness,10,0.125,0.5,0.622,0.739,0.974,0.841,0.413,0.026,0.396,0.053,0.449,47.450
Brightness,10,0.125,0.75,0.643,0.753,0.972,0.849,0.383,0.028,0.396,0.049,0.445,46.880
Brightness,10,0.125,0.9,0.651,0.760,0.970,0.852,0.369,0.030,0.396,0.073,0.469,44.900
Brightness,30,-1,0.5,0.695,0.861,0.863,0.862,0.168,0.137,0.396,0.144,0.541,106.190
Brightness,30,-1,0.75,0.695,0.861,0.863,0.862,0.168,0.137,0.396,0.144,0.541,107.490
Brightness,30,-1,0.9,0.695,0.861,0.863,0.862,0.168,0.137,0.396,0.144,0.541,108.310
Brightness,30,0.25,0.5,0.674,0.787,0.951,0.861,0.310,0.049,0.396,0.117,0.513,109.680
Brightness,30,0.25,0.75,0.686,0.799,0.944,0.866,0.285,0.056,0.396,0.136,0.532,103.780
Brightness,30,0.25,0.9,0.695,0.807,0.942,0.869,0.271,0.058,0.396,0.143,0.539,97.430
Brightness,30,0.125,0.5,0.625,0.739,0.977,0.842,0.413,0.023,0.396,0.053,0.449,142.610
Brightness,30,0.125,0.75,0.643,0.753,0.972,0.849,0.383,0.028,0.396,0.049,0.445,135.680
Brightness,30,0.125,0.9,0.653,0.761,0.970,0.853,0.366,0.030,0.396,0.073,0.469,131.590
Fog,-1,-1,-1,0.460,0.781,0.657,0.714,0.200,0.343,0.327,0.099,0.426,0.490
Fog,-1,0.250,-1,0.484,0.739,0.783,0.760,0.302,0.217,0.327,0.091,0.418,0.710
Fog,-1,0.125,-1,0.496,0.702,0.880,0.781,0.407,0.120,0.327,0.081,0.408,0.840
Fog,10,-1,0.5,0.442,0.766,0.660,0.709,0.220,0.340,0.327,0.101,0.428,29.550
Fog,10,-1,0.75,0.459,0.777,0.663,0.715,0.207,0.337,0.327,0.099,0.426,29.470
Fog,10,-1,0.9,0.456,0.779,0.657,0.712,0.203,0.343,0.327,0.099,0.426,28.940
Fog,10,0.25,0.5,0.511,0.716,0.867,0.785,0.374,0.133,0.327,0.100,0.427,33.270
Fog,10,0.25,0.75,0.510,0.727,0.843,0.781,0.344,0.157,0.327,0.081,0.408,31.120
Fog,10,0.25,0.9,0.485,0.726,0.813,0.767,0.334,0.187,0.327,0.067,0.394,30.070
Fog,10,0.125,0.5,0.483,0.676,0.919,0.779,0.479,0.081,0.327,0.095,0.422,38.340
Fog,10,0.125,0.75,0.503,0.691,0.910,0.785,0.443,0.090,0.327,0.094,0.421,37.440
Fog,10,0.125,0.9,0.499,0.695,0.898,0.783,0.430,0.102,0.327,0.093,0.420,35.780
Fog,30,-1,0.5,0.442,0.766,0.660,0.709,0.220,0.340,0.327,0.101,0.428,85.720
Fog,30,-1,0.75,0.453,0.776,0.657,0.711,0.207,0.343,0.327,0.101,0.428,86.600
Fog,30,-1,0.9,0.456,0.777,0.660,0.713,0.207,0.340,0.327,0.099,0.426,84.010
Fog,30,0.25,0.5,0.505,0.714,0.864,0.782,0.377,0.136,0.327,0.088,0.415,96.460
Fog,30,0.25,0.75,0.510,0.726,0.846,0.782,0.348,0.154,0.327,0.081,0.408,93.080
Fog,30,0.25,0.9,0.476,0.722,0.807,0.762,0.338,0.193,0.327,0.067,0.394,88.460
Fog,30,0.125,0.5,0.493,0.677,0.928,0.783,0.482,0.072,0.327,0.095,0.422,116.220
Fog,30,0.125,0.75,0.498,0.687,0.913,0.784,0.452,0.087,0.327,0.094,0.421,112.210
Fog,30,0.125,0.9,0.510,0.697,0.907,0.788,0.430,0.093,0.327,0.093,0.420,108.950
Motion Blur,-1,-1,-1,0.464,0.573,0.941,0.712,0.505,0.059,0.321,0.026,0.347,0.590
Motion Blur,-1,0.250,-1,0.469,0.564,0.966,0.712,0.537,0.034,0.321,0.016,0.337,0.640
Motion Blur,-1,0.125,-1,0.426,0.536,0.975,0.692,0.608,0.025,0.321,-0.038,0.283,0.830
Motion Blur,10,-1,0.5,0.461,0.571,0.941,0.711,0.509,0.059,0.321,0.026,0.347,32.310
Motion Blur,10,-1,0.75,0.461,0.571,0.941,0.711,0.509,0.059,0.321,0.026,0.347,33.970
Motion Blur,10,-1,0.9,0.464,0.573,0.941,0.712,0.505,0.059,0.321,0.026,0.347,33.350
Motion Blur,10,0.25,0.5,0.443,0.545,0.975,0.699,0.587,0.025,0.321,-0.028,0.292,26.600
Motion Blur,10,0.25,0.75,0.462,0.558,0.971,0.708,0.555,0.029,0.321,-0.009,0.311,25.060
Motion Blur,10,0.25,0.9,0.466,0.563,0.966,0.711,0.541,0.034,0.321,0.008,0.329,23.830
Motion Blur,10,0.125,0.5,0.425,0.529,0.990,0.689,0.636,0.010,0.321,-0.048,0.273,33.650
